"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000035b5e5ad9019092c665357240f594e","1E-18","No"
"0x001b9e1c869f307469cccfa5c5be4476436d65fb","211312","No"
"0x006b082e8a781fdbaf499fd11aacfcebaf83d382","50000","No"
"0x011fb3d35fcaf3f337d1d850d83019db65d1cfe5","150","No"
"0x02a9e8495c2f2cb526eaa83227310c36f0800b52","1667","No"
"0x02d3b83799fa7b54123c0415dbf652e33b941e1d","4875","No"
"0x02eb35615f6d58faedd1f7f333639e9390b98149","3334","No"
"0x03b0da178feca0b0bbd5d76c431f16261d0a76aa","1427.47529007042","No"
"0x0457f71505f31895a525d978c4b9efb2bf255a40","3920.65527868836","No"
"0x04c30beae769ea53b4343cfc549c7f0f77b72549","6666666.72","No"
"0x0574941156a691647359ce8cdad139f8cd19ba0f","10000","No"
"0x067be8b2e19e5521f62aad2224e8ea50ac47b087","750792","No"
"0x095f8f1dd00dcbb427a89c260535c7659fae2d94","4000","No"
"0x0b086728f6590d9354ce35f9acc88f359a484363","1030.62053400631","No"
"0x0d18b824dd97bcd770f561be722ca27bcb4f3f10","111111.111","No"
"0x0e90112eaaed32c11ac346bea6c6395d1124dbc4","624","No"
"0x0ff35da75fd5070e1961d9d9f0413b27a4f7d768","12000","No"
"0x111119af326515fb0a201eb8a8a118584d678787","5","No"
"0x125035e3c53c1fc9f66fe9db1b3dd93cb87fece1","3000","No"
"0x17bf22f17633892271a819e87dbd67c53c6d0408","700","No"
"0x189fcbb92571fd9030dc99d1f147d6d409ad756d","2260","No"
"0x1c250e098fa2901918b430c3e84fee435f8d9fe9","77777","No"
"0x1c632ada0d131b7bcdcfcc2491a2f70b2903a19f","3750","No"
"0x1c6b5d6b229dbe0f5814fb77e8ab637367df6abb","1259713","No"
"0x1c92be499c4d6aa448282e541c5c0cc45b1a7b56","4750","No"
"0x1d4e215701f6fc28d821d3d69e0c9bfd63d00ca6","223","No"
"0x1e64768f20461fb92b0fa9221a86a7a6ce024211","525","No"
"0x1ec870d9861d9fb21cd13164f31ad18f60baf96b","161.89659956929","No"
"0x1fa8a1ce827cf0b7f1a4b401635ad3117f6483eb","6000","No"
"0x2073bb732f646c7d96f293cf23f7098d3c2db6e0","1200","No"
"0x216243c65a8e1d965a71e04350aa3ec5a26a1200","10000","No"
"0x21fc616a29b04fdc0ba6e36a22536c26bbce7d92","1000","No"
"0x237bf470c3c2229b0a9579571153190396b32ddb","10200","No"
"0x2623c55b9a58c4f2e94e76ac593f8382640dc79f","10","No"
"0x26bde516711fecf8ebfd8e604d5931267f8431f3","1000000","No"
"0x2800ab73c895e2c2be56ed337487428677116350","4000000","No"
"0x2a5deeb7f139ca65ab33f234de37032567aaa9a0","700","No"
"0x2b030183990d083252580bc5e8ce8a290529c925","10000","No"
"0x2e4c5c4b0b7c6b8c02d3c30cb59629d01ec8f074","118137.7","No"
"0x3077621ab7e7b06ddeb1ae75b1f2fb0360f54641","4993760","No"
"0x31bab03d5b8dabd4b584f1608e87418123dec99c","100","No"
"0x33eb6487e9973ac43e7a35be808067b0f333c9c5","10000","No"
"0x3686af897f4990ce747cf93d6bef6d504a08d88b","5500","No"
"0x388ae20ab28002f5730206f44546487fe54af9a1","17000","No"
"0x38f553762e31c5aa51e7e4faf8b240c79d41626f","114200","No"
